sheet,row_index,section,fnu_mean,fnu_std,n_numeric,source_file
Turbidity,2,section_1,4.500192307692308,3.6454449046393966,156,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,3,section_2,1.8996794871794873,1.3868153981527547,156,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,4,section_3,2.6760897435897437,2.0416837488719026,156,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,5,section_4,1.6729936305732482,0.8701156413137241,157,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,6,section_5,1.7909554140127388,1.444930423220577,157,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,7,section_6,1.5928205128205128,0.8702621141193796,156,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,8,section_7,2.62203821656051,2.600599817840537,157,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,9,section_8,2.3269871794871793,1.5992632197325996,156,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
Turbidity,10,upstream_or_unspecified,3.0790000000000006,1.183232437013117,20,Embankment Test Dam of Älvkarleby – Data from seepage and turbidity measurements/Turbidity.xlsx
